Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:38:37,8:12:02,20131.747463295607
Brant Broughton Village Hall,"West St, Brant Broughton, Lincoln LN5 0SF, UK",1:13:13,1:46:04,27757.113609247644
LN4 3AW,"Lincoln LN4 3AW, UK",7:04:24,7:43:52,26506.72906528149
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",4:05:39,4:23:46,450.26786707020614
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:31:03,8:12:37,32214.841259876608
LN4 3AW,"Lincoln LN4 3AW, UK",1:05:47,5:12:58,231435.44176044504
Sovereign Business Integration Group plc,"Metro Point, 1A Chalk Ln, Barnet EN4 9JQ, UK",1:40:27,0:26:45,208769.15934290472
LN4 3AW,"Lincoln LN4 3AW, UK",7:04:29,8:09:06,29730.428668340024
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:41:12,7:58:16,3979.8231571899423
Asda Lincoln North Hykeham Superstore,"Newark Rd., North Hykeham, Lincoln LN6 8JY, UK",8:29:32,9:07:49,27256.433899808093
LN4 3AW,"Lincoln LN4 3AW, UK",7:53:42,8:28:40,26802.33905150393
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:56:02,8:34:13,32214.841259876608
LN4 3AW,"Lincoln LN4 3AW, UK",6:16:37,7:28:11,75338.20819777346
Bupa Dental Care Peterborough - Werrington,"14 Skaters Way, Peterborough PE4 6NB, UK",8:58:50,9:33:17,31391.65290350895
SL Engineering,"Temple Rd, Aslackby, Sleaford NG34 0HJ, UK",9:45:01,0:14:17,46182.945781855764
LN4 3AW,"Lincoln LN4 3AW, UK",2:37:38,3:10:56,26700.66257030889
Total Fitness,"Fields, Whisby Rd, Lincoln LN6 3TA, UK",9:13:42,9:37:03,24562.819070591653
Lincolnshire Co-op Metheringham Post Office,"26 High St, Metheringham, Lincoln LN4 3EA, UK",9:46:20,9:57:30,7709.388327036143
LN4 3AW,"Lincoln LN4 3AW, UK",7:07:23,7:44:29,26800.22296638285
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",3:10:23,3:12:42,450.26786707020614
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:56:20,8:11:27,20386.584776681553
River Witham,"River Witham, United Kingdom",8:15:59,8:32:44,20386.584776681553
Brant Broughton Village Hall,"West St, Brant Broughton, Lincoln LN5 0SF, UK",1:24:43,1:56:16,27760.711974224847
LN4 3AW,"Lincoln LN4 3AW, UK",6:27:28,7:44:03,75315.83272211356
Bupa Dental Care Peterborough - Werrington,"14 Skaters Way, Peterborough PE4 6NB, UK",8:07:14,8:09:55,1100.7486740423385
Bupa Dental Care Peterborough - Werrington,"14 Skaters Way, Peterborough PE4 6NB, UK",8:48:45,0:04:01,104419.22462350535
TFM Countrystore & TFM Hire,"Thorpe Rd, Whisby, Lincoln LN6 9BT, UK",0:09:33,0:21:37,6311.770390785625
Sainsbury's,"Tritton Rd, Lincoln LN6 7QN, UK",0:54:36,1:01:44,3437.7285747252654
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",7:41:02,8:32:03,29506.66795818659
LN4 3AW,"Lincoln LN4 3AW, UK",2:02:09,2:43:18,45998.520162087036
LN4 3AW,"1 Lower Cottages, Woodnook, Grantham NG33 5AB, UK",3:05:52,3:35:26,46022.316672716785
LN4 3AW,"Lincoln LN4 3AW, UK",5:23:08,6:02:14,25466.128771329335
Royal Oak,"Tattershall Bridge, Lincoln LN4 4JH, UK",8:26:31,8:49:42,24175.99096325312
