Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",Sainsbury's,3353,3:19:03,2019-03-20
LN4 3AW,"Lincoln LN4 3AW, UK",Integrity Software Systems Ltd,29579,7:02:37,2019-03-20
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",LN4 3AW,32216,7:33:31,2019-03-19
LN4 3AW,"Lincoln LN4 3AW, UK",Integrity Software Systems Ltd,29703,7:06:01,2019-03-19
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",LN4 3AW,32214,7:58:52,2019-03-18
LN4 3AW,"Lincoln LN4 3AW, UK",Integrity Software Systems Ltd,29550,6:51:39,2019-03-18
Lincolnshire Co-op Food Store,"Station Rd, Branston, Lincoln LN4 1LH, UK",LN4 3AW,14335,5:28:49,2019-03-17
LN4 3AW,"54 South Park, Lincoln LN5 8ER, UK",Lincolnshire Co-op Food Store,5593,5:01:32,2019-03-17
LN4 3AW,"Lincoln LN4 3AW, UK",LN4 3AW,19711,3:37:59,2019-03-17
Brant Broughton Village Hall,"West St, Brant Broughton, Lincoln LN5 0SF, UK",LN4 3AW,27759,1:13:50,2019-03-14
The Beck,"The Beck, Lincoln LN6, UK",Brant Broughton Village Hall,16129,8:01:17,2019-03-14
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",The Beck,4820,7:34:08,2019-03-14
LN4 3AW,"Lincoln LN4 3AW, UK",Integrity Software Systems Ltd,29701,6:55:47,2019-03-14
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",LN4 3AW,32216,7:36:47,2019-03-13
LN4 3AW,"Lincoln LN4 3AW, UK",Integrity Software Systems Ltd,29490,6:57:18,2019-03-13
Bransby Horses Rescue and Welfare,"Bransby, Lincoln LN1 2PH, UK",LN4 3AW,35112,0:53:42,2019-03-12
Integrity Software Systems Ltd,"Office 13 Ground Floor, Langton House, Lindum Business Park, Station Rd, North Hykeham, Lincoln LN6 3QX, UK",Bransby Horses Rescue and Welfare,17918,7:35:22,2019-03-12
